RIC,Full Name
CPNREITu.BK,CPN Retail Growth Leasehold REIT
CPRm.BK,Copper Gomu Industrial
CPT.BK,Concepts Drives and Power
CSC.BK,Crown Seal
CSP.BK,CSP Steel Center
DCON.BK,Dcon Products
DPAINTm.BK,Delta Paint
DEMCO.BK,Demco
Dm.BK,Dental Corporation
DEXONm.BK,Dexon Technology
TIPH.BK,Dhipaya Group Holdings
DHOUSEm.BK,Dhouse Pattana
DRT.BK,Diamond Building Products
DIFu.BK,Digital Telecommunications Ifcf
DIMETm.BK,Dimet (Siam)
DITTO.BK,Ditto (Thailand)
DDD.BK,Do Day Dream
DODm.BK,DOD Biotechnology
DOHOME.BK,Dohome
DMT.BK,Don Muang Tollway
DTCENT.BK,DTC Enterprise
DTCI.BK,DTC Industries
DUSIT.BK,Dusit Thani
DREITu.BK,Dusit Thani Freehold and Leasehold REIT
DV8m.BK,DV8
DCC.BK,Dynasty Ceramic
EFORLm.BK,E for L AIM
ETC.BK,Earth Technology Environment
EASON.BK,Eason&
ECFm.BK,East Coast Furnitech
ECL.BK,Eastern Commercial Leasing
EPG.BK,Eastern Polymer Group
EP.BK,Eastern Power
ESTAR.BK,Eastern Star Real Estate
ETEm.BK,Eastern Technical Engineering
EASTW.BK,Eastern Water Resources Development and Management
EKH.BK,Ekachai Medical Care
AKR.BK,Ekarat Engineering
EGCO.BK,Electricity Generating
EMC.BK,EMC
EA.BK,Energy Absolute
ERW.BK,Erawan Group
EE.BK,Eternal Energy
UREKAm.BK,Eureka Design
EUROm.BK,Euro Creations
ETL.BK,Euroasia Total Logistics
EVER.BK,Everland
XOm.BK,Exotic Foods
FANCY.BK,Fancy Wood Industries
FE.BK,Far East Fame Line DDB ORS
FVCm.BK,Filter Vision
FSX.BK,Finansia X
FMT.BK,Fine Metal Technologies
FTE.BK,Firetrade Engineering
FLOYDm.BK,Floyd
FN.BK,FN Factory Outlet
FNS.BK,FNS Holdings
FND.BK,Food and Drinks
FM.BK,Food Moments
FORTH.BK,Forth
FSMARTm.BK,Forth Smart Service
FPIm.BK,Fortune Participations Industry
FTREITu.BK,Frasers Prop THA Industrielle FHLH REIT
FPT.BK,Frasers Property Public
FUTURERTu.BK,Future City Leasehold Real Estate Investment
FTI.BK,Function International
GABLE.BK,G Able
GCAPm.BK,G Capital
GJS.BK,G J Steel
GSTEEL.BK,G Steel
GEL.BK,General Engineering
GENCO.BK,General Environmental Conservation
GFCm.BK,Genesis Fertility Center
GTBm.BK,Getabec
GFPT.BK,GFPT
RSXYZ.BK,Gift Infinite
GC.BK,Global Connections
GLOCON.BK,Global Consumer
GGC.BK,Global Green Chemicals
GPSC.BK,Global Power Synergy
VSm.BK,Global Service Center
GBX.BK,Globlex Holding
GLORYm.BK,Glory Forever
GRAMMY.BK,GMM Grammy
SUTHA.BK,Golden Lime
GVREITu.BK,Golden Ventures Leasehold REIT
GYT.BK,Goodyear (Thailand)
GLAND.BK,Grand Canal Land
GPI.BK,Grand Prix International
GRAND.BK,Grande Asset Hotels and Property
GAHREITu.BK,Grande Hospitality REIT Unit
GROREITu.BK,Grande Royal Orchid Hospitality REIT
GREEN.BK,Green Resources
GTVm.BK,Green Technology Ventures
GL.BK,Group Lease
GUNKUL.BK,Gunkul Engineering
HTC.BK,Haad Thip
HTECH.BK,Halcyon Technology
HANA.BK,Hana Microelectronics
HARNm.BK,Harn Engineering Solutions
HEALTHm.BK,Health Empire Corporation
HLm.BK,Healthlead
HPFu.BK,Hemaraj Industrial Property and Leasehold
HENG.BK,Heng Leasing and Capital
HPTm.BK,Home Pottery
HMPRO.BK,Home Product Center
HUMAN.BK,Humanica
HFT.BK,Hwa Fong Rubber (Thailand)
HYDROGENu.BK,Hydg FHLH Real Estate Investment
HYDROm.BK,Hydrotek
IIGm.BK,I&I Group
ITC.BK,I-Tail
I2m.BK,I2 Enterprise
ICC.BK,ICC International
ICHI.BK,Ichitan Group
IFS.BK,IFS Capital (Thailand)
INSURE.BK,Indara Insurance
INDm.BK,Index International Group
ILM.BK,Index Living M
IVL.BK,Indorama Ventures
INETREITu.BK,Inet Freehold and Leasehold REIT
ICN.BK,Information and Communication Networks
INSET.BK,Infraset
INGRS.BK,Ingress Industrial
IRC.BK,Inoue Rubber
IVFm.BK,Inspire IVF
IP.BK,Inter Pharma
IHL.BK,Interhides
ILINK.BK,Interlink Communication
ITEL.BK,Interlink Telecom
IMHm.BK,Intermedical Care and Lab Hospital
ITNSm.BK,International Network System
IRCPm.BK,International Research
INET.BK,Internet Thailand
IROYALm.BK,Interroyal Engineering
INTUCH.BK,Intouch Holdings
IMPACTu.BK,Ipct Growth Real Estate Investment Trust Units
IRPC.BK,IRPC
ISSARAu.BK,Issara Real Estate Investment Trust
IT.BK,IT City
ITD.BK,Italian-Thai Development
ITTHIm.BK,Itthirit Nice
JR.BK,J R W Utility
JCT.BK,Jack Chia Industries
JAKm.BK,Jakpaisan Estate
J.BK,JAS Asset
JAS.BK,Jasmine International
JTS.BK,Jasmine Technology Solution
JMART.BK,Jaymart Group Holdings
JCKHm.BK,JCK Hospitality
JCK.BK,JCK International ORS
JDF.BK,JD Food
JPARKm.BK,Jenkongklai
JKN.BK,JKN Global Group
JMT.BK,JMT Network Services
JSPm.BK,JSP Pharmaceutical Manufacturing (Thailand)
JUBILEm.BK,Jubilee Enterprise
PRTR.BK,K Foreign Fixed Income 1YAE Not for RTL INV
KWMm.BK,K W Metal Work
KKm.BK,K&K Superstore Southern
KYE.BK,Kang Yong Electric
KAMART.BK,Karmarts
KTIS.BK,Kaset Thai International Sugar
KBANK.BK,Kasikornbank
KCMm.BK,KC Metalasset
KC.BK,KC Property
KCE.BK,KCE Electronics
KCG.BK,KCG Corporation
KEX.BK,Kerry Express (Thailand)
CHOTI.BK,Kiang Huat Sea Gull Trading Frozen Food
KGI.BK,KGI Securities
KSL.BK,Khon Kaen Sugar
KBS.BK,Khonburi Sugar
KBSPIFu.BK,Khonburi Sugar Power Plant Infrastructure
KKP.BK,Kiatnakin Phatra Bank
KIAT.BK,Kiattana Transport
KGENm.BK,King General
Km.BK,Kingsmen C M T I
KJLm.BK,Kitcharoen Engineering Electric
KLINIQm.BK,Klinique Medical Clinic
KCCm.BK,Knight Club Capital Holding
KPNREITu.BK,KPN Real Estate Investment
KTB.BK,Krung Thai Bank
KWC.BK,Krungdhep Sophon
KCAR.BK,Krungthai Car Rent and Lease
KTC.BK,Krungthai Card
KTMSm.BK,KT Medical Service
KTBSTMRu.BK,KTBST MXD Freehold and Leasehold REIT
KKC.BK,Kulthorn Kirby
KUMWELm.BK,Kumwell Corporation
KWI.BK,KWI
LPH.BK,Ladprao General Hospital
LRH.BK,Laguna Resorts and Hotels
LALIN.BK,Lalin Property
LST.BK,Lam Soon
LH.BK,Land and Houses
LANNA.BK,Lanna Resources
LHRREITu.BK,Land and Houses Residential Freehold and Leasehold Real Estate Investment Trust
LDCm.BK,LDC Dental
LITm.BK,Lease IT
LEE.BK,Lee Feed Mill
LEOm.BK,LEO Global Logistics
LHFG.BK,LH Financial Group
LHHOTELu.BK,LH Hotel Leasehold Real Estate Investment Trust Units
LHSCu.BK,LH Shopping Centers Leasehold REIT
LTSm.BK,Light Up Total Solution
LNE.BK,Lighting and Equipment
LHK.BK,Lohakit Metal
LOXLEY.BK,Loxley
LPN.BK,LPN Development
LUXFu.BK,Luxury Real Estate Investment
MVPm.BK,M Vision
MAGUROm.BK,Maguro Group
M-CHAI.BK,Mahachai Hospital
MAJOR.BK,Major Cineplex Group
MJD.BK,Major Development
MTWm.BK,Make to Win Holding
MALEE.BK,Malee Group
MANRIN.BK,Mandarin Hotel
MCAm.BK,Market Connections Asia
MASTER.BK,Master Style
MATCH.BK,Matching Maximize Solution
MATI.BK,Matichon
MST.BK,Maybank Securities (Thailand) Public Company Limited
MBK.BK,MBK
MC.BK,MC Group
MCOT.BK,Mcot
MCS.BK,MCS Steel
MDX.BK,MDX
MEBm.BK,MEB Corporation
MEDEZE.BK,Medeze Group
MEGA.BK,Mega Lifesciences
MGTm.BK,Megachem (Thailand)
MENA.BK,Mena Transport
METAm.BK,Meta Corporation
MSC.BK,Metro Systems
MFC.BK,MFC Asset Management
MIIu.BK,MFC Industrial Freehold and Leasehold Real Estate Investment Trust
MITu.BK,MFC Industrial Real Estate Investment Trust Units
M-PATu.BK,MFC Patong Heritage Property
MNITu.BK,MFC-Nichada Thani Property
M-STORu.BK,MFC-Strategic Storage
MFEC.BK,Mfec
MICRO.BK,Micro Leasing
MIDA.BK,Mida Assets
ML.BK,Mida Leasing
MILL.BK,Millcon Steel
MGC.BK,Millennium Group Asia
MIPFu.BK,Millionaire Property
MINT.BK,Minor International
MGIm.BK,Miss Grand International
MITSIBm.BK,Mitsib Leasing
MJLFu.BK,MJR CPX Lifestyle Leasehold Property
MK.BK,MK Real Estate Development
M.BK,MK Restaurant Group
MODERN.BK,Modernform Group
MONO.BK,Mono Next
MOONGm.BK,Moong Pattana International
MOREm.BK,More Return
MOSHI.BK,Moshi Moshi Retail
MPJm.BK,MPJ Logistics
MTI.BK,Muang Thai Insurance
MTC.BK,Muangthai Capital ORS
MUDm.BK,MUD and Hound
MNRFu.BK,Multi-National Residence
MBAXm.BK,Multibax
METCO.BK,Muramoto Electron
NKT.BK,Nakornthon Hospital
NAM.BK,Namwiwat Medical
NYT.BK,Namyong Terminal
NATm.BK,National Absolute Technologies
NATION.BK,Nation Group (Thailand)
NKI.BK,Navakij Insurance
NNCL.BK,Navanakorn
NWR.BK,Nawarat Patanakarn
NCH.BK,NC Housing
NCLm.BK,NCL International Logistics
NDRm.BK,ND Rubber
NEO.BK,Neo Corporate
NEP.BK,NEP Realty and Industry
NETBAYm.BK,Netbay
NC.BK,New City (Bangkok)
NPKm.BK,New Plus Knitting
NEWSm.BK,News Network Corporation
NEX.BK,NEX Point
NCAP.BK,Next Capital
NFC.BK,NFC
SECUREm.BK,Nforce Secure
TIDLOR.BK,Ngern TID LOR
NCPm.BK,Nice Call
MNIT2u.BK,Nichada Thani Property 2
NVD.BK,Nirvana Development
NL.BK,Nil Development
NOBLE.BK,Noble Development
NOK.BK,NOK Airlines
NTV.BK,Nonthavej Hospital
EGATIFu.BK,North Bangkok Power Plant Block 1 Infrastructure Fund
NER.BK,North East Rubbers
NOVA.BK,Nova Empire
NV.BK,Nova Organic
NRF.BK,NR Instant Produce
NSL.BK,NSL Foods
NTSCm.BK,Nutrition SC
OCC.BK,OCC
OGC.BK,Ocean Glass
OHTL.BK,Ohtl
ONEE.BK,One Enterprise
ORI.BK,Origin Property
ORN.BK,Ornsirin Holding Public
OSP.BK,Osotspa
PSP.BK,P Save Prosper Specialties
PACE.BK,Pace Development
PAP.BK,Pacific Pipe
PAF.BK,Pan Asia Footwear
PANELm.BK,Panelesmatic Solutions
PJW.BK,Panjawattana Plastic
PK.BK,Patkol
PATO.BK,Pato Chemical Industry
PHG.BK,Patrangsit Healthcare Group
PCSGH.BK,PCS Machine Group Holding
PEACE.BK,Peace and Living
PEERm.BK,Peer for You
PRAPATm.BK,Peerapat Technology
PG.BK,People's Garment
PERM.BK,Permsin Steel Works
PCE.BK,Petchsrivichai Enterprise
PL.BK,Phatra Leasing
PHOLm.BK,Phol Dhanya
PICOm.BK,Pico Thailand
PLTm.BK,Pilatus Marine
PIN.BK,Pinthong Industrial Park
PPFu.BK,Pinthong Industrial Park Property
PIMOm.BK,Pioneer Motor
PLANB.BK,Plan B Media
PLANETm.BK,Planet Communications Asia
OKJ.BK,Pluk Phak Praw RAK Mae
PTECH.BK,Plus Technology Innovation
PMTA.BK,PM Thoresen Asia Holdings
PMCm.BK,PMC Label Materials
POLAR.BK,Polaris Capital
POLY.BK,Polynet
PTL.BK,Polyplex (Thailand)
PPMm.BK,Porn Prom Metal
INOX.BK,Posco-Thainox
PLE.BK,Power Line Engineering
PSTCm.BK,Power Solution Technologies
PPPM.BK,PP Prime
PRAKIT.BK,Prakit Holdings
PDJ.BK,Pranda Jewelry
PR9.BK,Praram 9 Hospital
PREB.BK,Pre-Built
PSL.BK,Precious Shipping
PCC.BK,Precise Public
PRECHA.BK,Preecha Group
PM.BK,Premier Marketing
PPP.BK,Premier Products
PQS.BK,Premier Quality Starch
PTCm.BK,Premier Tank
PT.BK,Premier Technology
PACOm.BK,President Automobile Industries
PB.BK,President Bakery
PRG.BK,PRG Corporation
PRM.BK,Prima Marine
POPFu.BK,Prime Office Leasehold Property
PRIME.BK,Prime Road Power
PRIm.BK,Primo Service
PRINC.BK,Principal Capital
PRIN.BK,Prinsiri
PDGm.BK,Prodigy
PROENm.BK,Proen
PRO.BK,Professional Waste Technology
PPSm.BK,Project Planning Service
PF.BK,Property Perfect
PROSm.BK,Prosper Engineering
PROUD.BK,Proud Real Estate
PROSPECTu.BK,Prospect Logistics and Industrial Free and Lease REIT
PSH.BK,Pruksa Holding
PSGm.BK,PSG Corporation
PTG.BK,Participating Energy
PTTGC.BK,PTT Global Chemical
OR.BK,PTT Oil and Retail Business
PYLON.BK,Pylon
QHBREITu.BK,Quality Houses Business Complex Leasehold Real Estate Investment Trust
QTC.BK,QTC Energy
QTCGm.BK,QTCG
QLTm.BK,Qualitech
Q-CON.BK,Quality Construction Products
QHOPu.BK,Quality Hospitality Leasehold Property
QH.BK,Quality Houses
RBF.BK,R&B Food Supply
RABBIT.BK,Rabbit Holdings
RML.BK,Raimon Land
RPm.BK,Raja Ferry Port
RJH.BK,Rajthanee Hospital Public
RAM.BK,Ramkhamhaeng Hospital
RATCH.BK,Ratch Group Public Company Limited
SCG.BK,Ratch Pathana Energy
RPH.BK,Ratchaphruek Hospital
THANI.BK,Ratchthani Leasing
RWIm.BK,Rayong Wire Industries
READYm.BK,Readyplanet
RCL.BK,Regional Containers Lines
TITLEm.BK,Rhom BHO Property
RSP.BK,Rich Sport
RICHY.BK,Richy Place 2002
RT.BK,Right Tunnelling
ROCK.BK,Rockworth
ROCTEC.BK,Roctec Global
ROJNA.BK,Rojana Industrial Park
KISS.BK,Rojukiss International
ROH.BK,Royal Orchid Hotel (Thailand)
PLUS.BK,Royal Plus
RPC.BK,RPCG
RS.BK,RS
SNJ.BK,S&J International Enterprises
SNP.BK,Standard and Poor's Syndicate
SAFm.BK,S A F Special Steel
SCLm.BK,S C L Motor Part
SHR.BK,S Hotels and Resorts
SORKON.BK,S Khonkaen Foods
SKN.BK,S Kijchai Enterprise
SPVIm.BK,Save Prosper V I
SPACK.BK,S Pack and Print
SPRIMEu.BK,S Prime Growth Leasehold REIT
S11.BK,S11 Group
SAAMm.BK,Saam Development
SABINA.BK,Sabina
SABUY.BK,Sabuy Technology
SAFARI.BK,Safari World
SAFE.BK,Safe Fertility Group
SPI.BK,Saha Pathana Inter-Holding
SPC.BK,Saha Pathanapibul
SUC.BK,Saha-Union
SQ.BK,Sahakol Equipment
SMIT.BK,Sahamit Machinery
SMPC.BK,Sahamitr Pressure Container
STPm.BK,Sahathai Printing and Packaging
PORT.BK,Sahathai Terminal
SMD100m.BK,Saintmed
SKE.BK,Sakol Energy
SAK.BK,Saksiam Leasing
SSPFu.BK,Sala @ Sathorn Property
COLORm.BK,Salee Colour
SALEEm.BK,Salee Industry
SLP.BK,Salee Printing
SAMART.BK,Samart
SAV.BK,Samart Aviation Solutions
SDC.BK,Samart Digital ORS
SAMTEL.BK,Samart Telcoms
SAM.BK,Samchai Steel Industries
SAMCO.BK,Sammakorn
SANKOm.BK,Sanko Diecasting
SIRI.BK,Sansiri
SAPPE.BK,Sappe
SAWANG.BK,Sawang Export
SC.BK,SC Asset
SCN.BK,Scan Inter
SCBSETu.BK,SCB Set Index Fund
SCGD.BK,SCG Decor
SCGP.BK,SCG Packaging
SJWD.BK,SCGJWD Logistics
SCI.BK,SCI Electric
SE-ED.BK,Securities-Education
SEAOIL.BK,Sea Oil
SEAFCO.BK,Seafco
CFRESH.BK,Seafresh Industry
SEIm.BK,SEI Medical
SELIC.BK,Selic
SENXm.BK,Sen X
SENA.BK,Sena Development
SSP.BK,Sermsang Power Corporation
SGC.BK,SG Capital
SGFm.BK,SGF Capital
SHANG.BK,Shangri-La Hotel
SWCm.BK,Sherwood Corporation (Thailand)
SFTm.BK,Shrinkflex (Thailand)
STHAI.BK,Shun Thai Rubber Gloves Industry
SCC.BK,Siam Cement
SCCC.BK,Siam City Cement
GLOBAL.BK,Siam Global House
SPG.BK,Siam Pan Group
SIAM.BK,Siam Steel International
SSSC.BK,Siam Steel Service Centre
STECH.BK,Siam Technic Concrete
SPA.BK,Siam Wellness Group
SE.BK,Siameast Solutions
SA.BK,Siamese Asset
SGP.BK,Siamgas and Petrochemicals
SRm.BK,Siamraj
SO.BK,Siamrajathanee
SKR.BK,Sikarin
SICTm.BK,Silicon Craft Technology
SIMATm.BK,Simat Technologies
SINGER.BK,Singer Thailand
S.BK,Singha Estate
SINO.BK,Sino Logistics
SKm.BK,Sirakorn
SRSm.BK,Sirisoft
SIS.BK,SIS Distribution (Thailand)
SISB.BK,Sisb
SVRm.BK,Sivarom Real Estate
SKY.BK,Sky ICT
STOWERm.BK,Sky Tower
SMARTm.BK,Smart Concrete
SNC.BK,SNC Former
SOLAR.BK,Solartron
SAT.BK,Somboon Advance Technology
SONICm.BK,Sonic Interfreight
SCP.BK,Southern Concrete Pile
SPCG.BK,SPCG
SNPS.BK,Specialty Natural Products
SRIPANWAu.BK,Sri Panwa Hospitality Real Estate Investment Trust
STA.BK,Sri Trang Agro-Industry
STGT.BK,Sri Trang Gloves (Thailand)
SNNP.BK,Srinanaporn Marketing Public Company Limited
SRICHA.BK,Sriracha Construction
SCAP.BK,Srisawad Capital 1969
SAWAD.BK,Srisawad Corporation
SITHAI.BK,Srithai Superware
VIH.BK,Srivichai Vejvivat
SM.BK,Star Money
SPRC.BK,Star Petroleum Refining
SFLEX.BK,Starflex
STCm.BK,STC Concrete Product
STECON.BK,Stecon Group
THE.BK,Steel
STELLA.BK,Stella X
STXm.BK,Stone One
STI.BK,Stonehenge Inter
STPI.BK,STP and I
SST.BK,Sub Sri Thai
SSTRTu.BK,Sub Sri Thai Real Estate Investment Trust
SCM.BK,Successmore Being
SVT.BK,Sun Vending Technology
SUN.BK,Sunsweet
SPALI.BK,Supalai
SUPER.BK,Super Energy Corporation
TURTLEm.BK,Super Turtle
SPREME.BK,Supreme Distribution
SSF.BK,Surapon Foods
SUSCO.BK,Susco
SVI.BK,SVI
SVOA.BK,Svoa
SYMC.BK,Symphony Communication
ASAP.BK,Synergetic Auto Performance
SYNEX.BK,Synnex (Thailand)
SYNTEC.BK,Syntec Construction
TACCm.BK,T A C Consumer
TKT.BK,T Krungthai Industries
TMCm.BK,T M C Industrial
TMAN.BK,T Man Pharmaceutical
TRVm.BK,T R V Rubber Products Public
TMILLm.BK,T S Flour Mill
TU-PFu.BK,T U Dome Residential Complex Leasehold Property
TAKUNIm.BK,Takuni Group
TTLPFu.BK,Talaad Thai Leasehold Property
TAN.BK,Tanachira Retail Corporation
TKN.BK,Taokaenoi Food and Marketing
TAPACm.BK,Tapaco
TSTH.BK,Tata Steel (Thailand)
TBNm.BK,TBN
TCJ.BK,TCJ Asia
TCMC.BK,TCM Corporation ORS
TEAMG.BK,Team Consulting Engineering and Management
TEAM.BK,Team Precision
TMm.BK,Techno Medical
TMIm.BK,Teera-Mongkol Industry
TEKA.BK,Teka Construction
TERAm.BK,Terabyte Plus
TGE.BK,Thachang Green Energy
TAE.BK,Thai Agro Energy
THAI.BK,Thai Airways International
TATGm.BK,Thai Auto Tools and Die Public Company Limited
TCC.BK,Thai Capital
TCOAT.BK,Thai Coating Industrial
COCOCO.BK,Thai Coconut
CREDIT.BK,Thai Credit Retail Bank
TEGH.BK,Thai Eastern Group Holdings
TIGERm.BK,Thai Enger Holding
TFI.BK,Thai Future Incorporation
TGH.BK,Thai Group Holdings
KASETm.BK,Thai Ha
TIF1u.BK,Thai Industrial 1
TLI.BK,Thai Life Insurance
TMD.BK,Thai Metal Drum
TMWm.BK,Thai Mitsuwa
THMUIm.BK,Thai MUI Corporation
TNHm.BK,Thai Nakarin Hospital
TNPC.BK,Thai Nam Plastics
TNDTm.BK,Thai Nondestructive Testing
TNR.BK,Thai Nippon Rubber Industry
TOP.BK,Thai Oil
TOPP.BK,Thai OPP
TOG.BK,Thai Optical Group
TPP.BK,Thai Packaging and Printing
TPLm.BK,Thai Parcels
TPAC.BK,Thai Plaspac
TPLASm.BK,Thai Plastic Industrial 1994
TPA.BK,Thai Poly Acrylic
TPOLY.BK,Thai Polycons
TFMAMA.BK,Thai President Foods
TR.BK,Thai Rayon
THRE.BK,Thai Reinsurance
TRUBB.BK,Thai Rubber Latex Group
TRU.BK,Thai Rung Union Car
TSI.BK,Thai Setakij Insurance
TSE.BK,Thai Solar Energy
