RIC,Full Name
DCC_f,Dynasty Ceramic Foreign Board
EPG_f,Eastern Polymer Group Foreign Board
EASTW_f,Eastern Water Resources Development and Management Foreign Board
EGCO_f,Electricity Generating Foreign Board
EA_f,Energy Absolute Foreign Board
ERW_f,Erawan Group Foreign Board
EVER_f,Everland Foreign Board
FTE_f,Firetrade Foreign Board Engineering
FORTH_f,Forth Foreign Board
FSMART_mf,Forth Smart Service Foreign Board
FTREITv,Frasers Prop THA Foreign Board Industrielle FHLH REIT
FPT_f,Frasers Property Foreign Board Public
GJSz,G J Steel Foreign Board
GEL_f,General Engineering Foreign Board
GPSC_f,Global Power Synergy Foreign Board
VS_mf,Global Service Foreign Board Center
GLORY_mf,Glory Forever Foreign Board
GL_f,Group Lease Foreign Board
GULF_f,Gulf Energy Development Foreign Board
GUNKUL_f,Gunkul Engineering Foreign Board
HL_mf,Healthlead Foreign Board
HENG_f,Heng Leasing and Foreign Board Capital
HMPRO_f,Home Product Center Foreign Board
ITC_f,I-Tail Foreign Board
ICHI_f,Ichitan Group Foreign Board
IND_mf,Index International Foreign Board Group
IRC_f,Inoue Rubber Foreign Board
IP_f,Inter Pharma Foreign Board
INTUCH_f,Intouch Holdings Foreign Board
IMPACTv,Ipct Growth Real Estate Investment Trust Foreign Board Units
IRPC_f,IRPC Foreign Board
ITD_f,Italian-Thai Development Foreign Board
JR_f,J R W Utility Foreign Board
J_f,JAS Asset Foreign Board
JAS_f,Jasmine International Foreign Board
JMART_f,Jaymart Group Foreign Board Holdings
JDF_f,JD Food Foreign Board
JKN_f,JKN Global Group Foreign Board
JMT_f,JMT Network Services Foreign Board
KAMART_f,Karmarts Foreign Board
KBANK_f,Kasikornbank Foreign Board
KCE_f,KCE Electronic Foreign Board
KEX_f,Kerry Express Foreign Board (Thailand)
KGI_f,KGI Securities Foreign Board
KSL_f,Khon Kaen Sugar Foreign Board
KBS_f,Khonburi Sugar Foreign Board
KKP_f,Kiatnakin Phatra Foreign Board Bank
KJL_mf,Kitcharoen Foreign Board Engineering Electric
KLINIQ_mf,Klinique Medical Foreign Board Clinic
KTB_f,Krung Thai Bank Foreign Board
KTC_f,Krungthai Card Foreign Board
LPH_f,Ladprao General Foreign Board Hospital
LH_f,Land and Houses Foreign Board
LEE_f,Lee Feed Mill Foreign Board
LOXLEY_f,Loxley Foreign Board
LPN_f,LPN Development Foreign Board
MVP_mf,M Vision Foreign Board
M-CHAI_f,Mahachai Hospital Foreign Board
MAJOR_f,Major Cineplex Group Foreign Board
MTW_mf,Make to Win Holding Foreign Board
MALEE_f,Malee Group Foreign Board
MBK_f,MBK Foreign Board
MC_f,MC Group Foreign Board
MCOT_f,Mcot Foreign Board
MCS_f,MCS Steel Foreign Board
MDX_f,MDX Foreign Board
MITv,MFC Industrial Real Estate Investment Trust Foreign Board Units
MINT_f,Minor International Foreign Board
M_f,MK Restaurant Group Foreign Board
MORE_mf,More Return Foreign Board
MOSHI_f,Moshi Moshi Retail Foreign Board
MTC_f,Muangthai Capital Foreign Board ORS
MUD_mf,MUD and Hound Foreign Board
NATION_f,Nation Group Foreign Board (Thailand)
NPK_mf,New Plus Knitting Foreign Board
NEWS_mf,News Network Foreign Board Corporation
NOBLE_f,Noble Development Foreign Board
EGATIFv,North Bangkok Power Plant Block 1 Infrastructure Fund Foreign Board
NER_f,North East Rubbers Foreign Board
NRF_f,NR Instant Produce Foreign Board
NSL_f,NSL Foods Foreign Board
STELLA_f,Nusasiri Foreign Board
ONEE_f,One Enterprise Foreign Board
