Ticker,Price Change (%),RS Score,Color
LEE,-0.8264462809917328,50,Red
LEOm,-6.2015503875969,32,Red
LH,10.61452513966481,85,Green
LHFG,9.821428571428559,84,Green
LHHOTELu,11.926605504587151,87,Green
LHK,3.3613445378151363,69,Yellow
LHSCu,5.660377358490565,77,Yellow
LH_f,10.77844311377245,86,Green
LITm,1.6666666666666607,62,Yellow
LNE,-3.7735849056603765,39,Red
LOXLEY,-4.464285714285721,37,Red
LPH,-2.5862068965517127,43,Red
LPN,6.451612903225823,78,Yellow
LPN_f,-50.8,1,Red
LRH,16.535433070866134,91,Green
LST,3.8306451612903247,71,Yellow
LUXFu,0.0,54,Red
M,1.2931034482758674,60,Yellow
M-CHAI,-4.6875,36,Red
M-PATu,13.636363636363624,89,Green
M-STORu,-8.943089430894325,24,Red
MAJOR,-2.1505376344086113,45,Red
MALEE,42.57425742574259,97,Green
MANRIN,8.51063829787233,82,Green
MATCH,0.512820512820511,56,Red
MATI,-11.049723756906072,20,Red
MBAXm,0.9803921568627638,59,Red
MBK,7.272727272727275,80,Green
MC,3.960396039603964,71,Yellow
MCOT,0.0,54,Red
MCS,-13.10679611650487,16,Red
MDX,-3.9301310043668103,38,Red
MEGA,-1.0582010582010581,49,Red
MENA,13.99999999999999,89,Green
METAm,-10.526315789473683,21,Red
METCO,22.510822510822504,94,Green
MFC,4.090909090909078,72,Yellow
MFEC,-6.470588235294117,31,Red
MGTm,-4.324324324324325,37,Red
MICRO,2.3809523809523725,65,Yellow
MIDA,0.0,54,Red
MILL,-2.500000000000002,44,Red
MINT,22.857142857142865,95,Green
MINT_f,-4.411764705882348,37,Red
MIPFu,-11.32075471698114,20,Red
MITSIBm,1.6666666953304432,62,Yellow
MITu,-32.72058823529412,4,Red
MJD,7.096774193548372,80,Green
MJLFu,-12.629934253843489,17,Red
MK,-2.7972027972028024,42,Red
ML,-2.608695652173898,43,Red
MNIT2u,-0.40000000000000036,52,Red
MNITu,8.64197530864197,82,Green
MNRFu,0.7042253521126751,57,Red
MODERN,-1.1695906432748537,48,Red
MONO,0.0,54,Red
MOONGm,-11.029411764705888,20,Red
MOREm,-84.55882352941177,0,Red
MSC,-2.083333333333326,45,Red
MST,-0.877192982456132,50,Red
MTC,9.35251798561152,83,Green
MTI,-0.40322580645161255,52,Red
MUDm,4.0322580645161255,71,Yellow
MVPm,-28.48837209302325,4,Red
NATION,-12.40193031106367,17,Red
NC,16.326530612244895,91,Green
NCAP,-2.4539877300613355,44,Red
NCH,-3.749999999999998,39,Red
